;Exp;Grupo;Instancia;Best;Avg;Best_inicial;Poblacion_avg;Tiempo_pob;Time;Total_it;best_iteration
0;AG8;large;1;14674,0;14736,8;15963,0;16084,0;71426,45999999999;402,4679;101,2;100,6
1;AG8;large;2;15109,0;15232,0;16565,0;16690,8;72333,385;402,608;114,7;114,3
2;AG8;large;3;13706,0;13799,5;15098,0;15277,6;62636,833;402,3607;121,6;121,4
3;AG8;large;4;14080,0;14255,8;15602,0;15665,1;63276,780000000006;401,2155;123,5;122,6
4;AG8;large;5;14473,0;14598,8;15967,0;16030,8;70113,711;401,6913;109,8;109,6
5;AG8;large;6;14975,0;15071,2;16296,0;16440,1;69342,659;403,3257;105,0;105,0
6;AG8;large;7;14199,0;14323,1;15615,0;15821,2;67778,60500000001;402,0161;119,8;119,5
7;AG8;large;8;14341,0;14410,8;15850,0;15944,4;65418,460999999996;402,10450000000003;126,5;125,8
8;AG8;large;9;14598,0;14824,7;16010,0;16243,8;70902,827;402,03319999999997;113,2;113,0
9;AG8;large;10;14065,0;14177,7;15678,0;15821,3;66461,552;401,4604;135,7;135,4
10;AG8;large;11;13297,0;13524,8;15132,0;15203,9;60469,99500000001;401,4907;155,5;155,3
11;AG8;large;12;14082,0;14207,2;15559,0;15685,8;68761,56700000001;401,7645;123,7;123,1
12;AG8;large;13;13479,0;13614,9;14997,0;15184,7;58572,39399999999;400,935;148,8;148,6
13;AG8;large;14;14738,0;14831,3;16144,0;16194,6;64448,572;401,08119999999997;105,9;105,7
14;AG8;large;15;13974,0;14115,2;15709,0;15758,7;62989,831999999995;401,0218;142,3;141,5
15;AG8;large;16;13577,0;13671,6;15256,0;15353,9;58930,101;401,2918;161,7;161,6
16;AG8;large;17;13611,0;13678,1;15279,0;15366,2;64236,939;401,6628;156,1;155,6
17;AG8;large;18;14135,0;14385,1;15809,0;15892,3;63247,988;401,3784;130,2;129,7
18;AG8;large;19;14775,0;14881,3;16164,0;16256,4;69513,86899999999;403,262;102,1;101,3
19;AG8;large;20;14681,0;14862,1;16220,0;16279,8;68472,554;402,0256;112,6;112,1
20;AG8;large;21;13853,0;13971,7;15440,0;15580,3;65174,015;401,8096;131,5;131,0
21;AG8;large;22;14527,0;14632,3;16086,0;16196,1;65860,258;402,0264;130,3;130,0
22;AG8;large;23;13540,0;13787,9;15396,0;15456,0;63870,138;401,63070000000005;145,5;145,2
23;AG8;large;24;14608,0;14702,7;16185,0;16279,4;62228,456000000006;401,2057;127,2;127,0
24;AG8;large;25;14923,0;15099,5;16380,0;16484,6;68551,232;402,2608;111,0;110,6
25;AG8;large;26;14607,0;14794,4;16157,0;16319,0;72021,65;402,35749999999996;118,2;117,7
26;AG8;large;27;13407,0;13660,1;15260,0;15357,0;58924,719999999994;400,9766;161,8;161,0
27;AG8;large;28;14007,0;14160,6;15643,0;15775,4;64958,867999999995;401,9962;146,7;146,3
28;AG8;large;29;13754,0;13916,8;15437,0;15535,1;64689,091;401,3437;144,5;144,2
29;AG8;large;30;13903,0;14043,9;15672,0;15760,9;65602,344;401,8218;148,9;148,5
30;AG8;large;31;13891,0;14149,4;15658,0;15776,1;64961,08200000001;402,03499999999997;144,0;143,7
31;AG8;large;32;14056,0;14311,6;15734,0;15839,8;64343,081000000006;402,3764;125,0;124,7
32;AG8;large;33;14176,0;14397,2;15767,0;15901,8;67577,863;402,16610000000003;120,3;119,8
33;AG8;large;34;15013,0;15135,1;16398,0;16588,2;67396,952;402,3515;107,3;107,2
34;AG8;large;35;12946,0;13094,0;14654,0;14787,5;64983,824;401,3036;164,9;164,0
35;AG8;large;36;14203,0;14388,8;15965,0;16016,6;64596,617000000006;401,5951;134,7;134,2
36;AG8;large;37;14185,0;14362,7;15652,0;15834,9;65889,026;401,67719999999997;122,5;122,3
