;Exp;Grupo;Instancia;Best;Avg;Best_inicial;Poblacion_avg;Tiempo_pob;Time;Total_it;best_iteration
0;AG7;medium;1;3138,0;3138,0;3650,0;3690,9;11036,436;150,2483;310,1;188,7
1;AG7;medium;2;3370,0;3370,0;3925,0;3964,7;11457,882000000001;150,219;338,4;193,6
2;AG7;medium;3;3370,0;3370,0;3914,0;3966,6;12411,818000000001;150,3859;271,7;207,6
3;AG7;medium;4;3370,0;3371,7;3942,0;3971,7;11520,383;150,197;313,5;183,6
4;AG7;medium;5;3550,0;3568,8;4173,0;4206,2;12927,956999999999;150,4249;221,4;220,1
5;AG7;medium;6;3179,0;3179,0;3682,0;3712,7;10680,825;150,2576;319,3;162,2
6;AG7;medium;7;3430,0;3430,3;3996,0;4053,0;12015,828;150,42000000000002;250,4;222,3
7;AG7;medium;8;3485,0;3505,4;4096,0;4129,4;12502,253999999999;150,3428;224,5;223,8
8;AG7;medium;9;3245,0;3245,0;3808,0;3822,8;11962,472;150,2951;313,4;194,9
9;AG7;medium;10;3439,0;3439,9;4019,0;4068,3;12767,97;150,27640000000002;242,0;228,1
10;AG7;medium;11;3283,0;3283,0;3775,0;3847,4;11305,038;150,3637;305,7;172,6
11;AG7;medium;12;3392,0;3392,1;3956,0;3986,0;11501,347;150,3597;304,5;186,0
12;AG7;medium;13;3422,0;3425,1;3994,0;4029,3;13126,405999999999;150,4228;228,8;216,5
13;AG7;medium;14;3362,0;3362,0;3932,0;3960,4;11922,778;150,1876;299,9;188,0
14;AG7;medium;15;3368,0;3368,0;3936,0;3978,2;11755,829000000002;150,53640000000001;266,8;215,0
15;AG7;medium;16;3585,0;3585,0;4185,0;4231,9;13191,289;150,34539999999998;241,7;210,5
16;AG7;medium;17;3456,0;3456,0;4034,0;4073,9;12337,99;150,3686;262,2;202,2
17;AG7;medium;18;3502,0;3502,0;4060,0;4120,1;12291,895;150,5294;260,8;173,6
18;AG7;medium;19;3394,0;3394,0;3906,0;3983,8;12007,838;150,4565;305,8;170,6
19;AG7;medium;20;3376,0;3376,0;3930,0;3978,2;11979,797;150,26569999999998;288,4;212,5
20;AG7;medium;21;3481,0;3481,4;4081,0;4118,1;12821,034;150,4299;264,8;193,4
21;AG7;medium;22;3581,0;3587,9;4208,0;4235,7;13515,181;150,3278;229,0;217,7
22;AG7;medium;23;3286,0;3286,0;3834,0;3886,9;10832,064;150,303;338,7;188,5
23;AG7;medium;24;3352,0;3352,0;3940,0;3965,4;12007,059;150,4633;247,4;216,2
24;AG7;medium;25;3552,0;3552,6;4132,0;4192,5;13215,072;150,7088;228,0;210,2
25;AG7;medium;26;3367,0;3367,0;3917,0;3966,2;11890,458999999999;150,33530000000002;300,1;176,8
26;AG7;medium;27;3458,0;3458,0;4029,0;4084,9;12683,369999999999;150,5172;261,6;200,4
27;AG7;medium;28;3391,0;3391,1;3944,0;3975,7;11395,747;150,4513;279,6;198,1
28;AG7;medium;29;3207,0;3207,0;3748,0;3772,8;10939,284;150,2964;339,9;194,1
29;AG7;medium;30;3138,0;3138,0;3669,0;3690,3;11521,676;150,356;305,4;184,1
30;AG7;medium;31;3189,0;3189,0;3713,0;3741,8;10487,244;150,3689;338,6;181,9
31;AG7;medium;32;3466,0;3466,0;4039,0;4072,2;12218,901;150,3492;261,3;205,8
32;AG7;medium;33;3548,0;3548,0;4123,0;4172,3;13011,904;150,4349;241,0;180,2
33;AG7;medium;34;3377,0;3378,3;3956,0;3992,4;11377,208999999999;150,3444;274,9;208,8
34;AG7;medium;35;3389,0;3389,0;3952,0;3993,2;11963,060000000001;150,5155;266,8;194,1
35;AG7;medium;36;3389,0;3390,7;3914,0;3978,5;11802,299;150,4222;317,5;173,4
36;AG7;medium;37;3567,0;3567,1;4145,0;4192,9;12709,397;150,4251;223,9;199,3
37;AG7;medium;38;3521,0;3521,0;4106,0;4144,8;13155,399;150,387;260,5;186,1
38;AG7;medium;39;3313,0;3313,0;3886,0;3915,3;12355,115;150,2575;262,7;187,7
39;AG7;medium;40;3173,0;3173,0;3712,0;3736,8;10758,113000000001;150,2559;339,8;171,3
40;AG7;medium;41;3345,0;3345,0;3886,0;3926,0;12164,186;150,4284;267,5;173,7
41;AG7;medium;42;3386,0;3386,7;3915,0;3982,9;11772,221000000001;150,4764;260,8;197,3
42;AG7;medium;43;3306,0;3306,0;3898,0;3920,4;12064,789;150,2999;285,0;208,7
43;AG7;medium;44;3496,0;3496,0;4092,0;4120,7;12256,231;150,3366;257,3;201,9
44;AG7;medium;45;3471,0;3471,0;4007,0;4080,7;12619,474;150,4795;293,9;207,4
45;AG7;medium;46;3285,0;3285,0;3826,0;3871,9;12090,735;150,347;316,8;177,6
46;AG7;medium;47;3219,0;3219,0;3693,0;3784,1;11359,028999999999;150,2857;315,4;176,3
47;AG7;medium;48;3478,0;3478,0;4049,0;4088,1;12161,236;150,3049;279,0;196,8
48;AG7;medium;49;3487,0;3487,8;4073,0;4113,5;12358,789999999999;150,5591;269,1;187,5
49;AG7;medium;50;3464,0;3464,6;4061,0;4081,6;11813,05;150,21099999999998;251,2;202,9
50;AG7;medium;51;3271,0;3271,0;3805,0;3846,1;11039,237;150,4021;341,0;173,8
51;AG7;medium;52;3227,0;3227,0;3707,0;3771,9;11675,159;150,5593;274,7;174,7
52;AG7;medium;53;3410,0;3410,0;3972,0;4012,1;11509,078;150,3471;303,2;186,2
53;AG7;medium;54;3263,0;3263,0;3813,0;3848,9;11437,408;150,2184;292,9;211,1
54;AG7;medium;55;3600,0;3600,6;4240,0;4279,3;12930,144;150,4855;247,6;220,8
55;AG7;medium;56;3580,0;3580,0;4201,0;4240,0;12415,795;150,2981;261,2;219,8
56;AG7;medium;57;3591,0;3591,8;4162,0;4234,0;12705,181;150,5395;233,0;210,6
57;AG7;medium;58;3518,0;3518,0;4079,0;4135,8;12201,244999999999;150,54000000000002;234,8;214,0
58;AG7;medium;59;3194,0;3194,0;3754,0;3781,0;11434,295;150,4112;329,1;199,5
59;AG7;medium;60;3295,0;3295,6;3825,0;3857,1;11650,210000000001;150,3453;308,1;180,9
60;AG7;medium;61;3310,0;3310,0;3853,0;3888,0;11420,496000000001;150,46210000000002;282,2;199,5
61;AG7;medium;62;3511,0;3511,0;4130,0;4178,1;12334,526;150,443;287,0;202,1
62;AG7;medium;63;3450,0;3450,0;4015,0;4048,6;13043,168;150,53609999999998;241,5;201,2
63;AG7;medium;64;3373,0;3373,0;3960,0;3974,6;11332,687;150,3527;279,6;195,7
64;AG7;medium;65;3586,0;3586,1;4199,0;4228,9;13315,268;150,4705;227,6;201,8
65;AG7;medium;66;3515,0;3515,1;4119,0;4144,6;12094,325;150,5586;260,3;213,4
66;AG7;medium;67;3326,0;3326,0;3874,0;3909,6;11258,037;150,3004;332,3;180,0
67;AG7;medium;68;3234,0;3234,0;3770,0;3811,3;10878,143;150,4045;292,6;192,1
68;AG7;medium;69;3509,0;3509,0;4134,0;4157,6;12932,060000000001;150,4509;261,7;226,3
69;AG7;medium;70;3414,0;3414,1;4013,0;4037,6;12392,684;150,3963;255,9;213,3
70;AG7;medium;71;3472,0;3472,0;4050,0;4103,4;11828,886;150,3656;279,2;199,7
71;AG7;medium;72;3517,0;3518,5;4074,0;4156,3;13044,119999999999;150,477;232,3;216,1
72;AG7;medium;73;3304,0;3304,0;3875,0;3896,8;11500,866;150,3182;291,1;212,9
73;AG7;medium;74;3178,0;3178,0;3664,0;3709,4;11374,694;150,2749;335,8;167,0
74;AG7;medium;75;3303,0;3303,0;3819,0;3864,7;12590,904;150,2436;321,2;186,9
75;AG7;medium;76;3511,0;3512,2;4098,0;4142,7;12790,074;150,6441;255,6;212,7
76;AG7;medium;77;3359,0;3359,0;3920,0;3967,1;12381,956;150,3616;255,6;213,2
77;AG7;medium;78;3338,0;3338,0;3881,0;3924,5;11215,253;150,251;344,5;183,3
78;AG7;medium;79;3538,0;3540,7;4156,0;4184,9;13089,117999999999;150,262;228,3;205,7
79;AG7;medium;80;3430,0;3430,0;3992,0;4038,3;11331,738000000001;150,261;275,6;182,7
80;AG7;medium;81;3323,0;3323,0;3860,0;3909,8;10951,301;150,2518;346,9;180,3
81;AG7;medium;82;3367,0;3367,0;3877,0;3919,6;11837,252;150,33429999999998;282,6;168,1
82;AG7;medium;83;3308,0;3308,0;3865,0;3887,2;12270,984;150,3773;308,7;174,8
83;AG7;medium;84;3431,0;3431,0;4003,0;4062,0;12271,206;150,31040000000002;286,2;219,5
84;AG7;medium;85;3397,0;3397,0;3945,0;3994,0;11750,857;150,2194;267,8;196,9
85;AG7;medium;86;3450,0;3450,0;4039,0;4073,7;11478,668;150,2841;313,8;226,7
86;AG7;medium;87;3427,0;3428,8;4015,0;4055,2;11790,038;150,4232;233,3;206,2
87;AG7;medium;88;3276,0;3276,0;3802,0;3864,4;11026,172999999999;150,2373;312,4;191,0
88;AG7;medium;89;3309,0;3309,0;3822,0;3875,0;10814,386;150,37359999999998;327,6;154,1
89;AG7;medium;90;3719,0;3725,0;4371,0;4407,3;14011,381;150,4472;224,0;218,4
90;AG7;medium;91;3340,0;3340,0;3888,0;3923,1;11566,604;150,3011;325,0;183,7
91;AG7;medium;92;3444,0;3444,0;4040,0;4059,6;11918,126;150,3577;258,5;189,5
92;AG7;medium;93;3205,0;3205,0;3713,0;3766,0;12144,639;150,4808;320,5;188,2
93;AG7;medium;94;3344,0;3344,0;3884,0;3928,6;11376,554;150,32059999999998;340,9;168,0
94;AG7;medium;95;3510,0;3510,4;4125,0;4151,7;12509,533;150,1439;245,7;213,0
95;AG7;medium;96;3378,0;3378,0;3921,0;3964,7;11413,437;150,284;306,2;179,2
96;AG7;medium;97;3523,0;3523,0;4130,0;4163,3;12609,422;150,5167;245,3;220,4
97;AG7;medium;98;3185,0;3185,0;3693,0;3754,7;11377,02;150,4512;314,8;210,6
98;AG7;medium;99;3644,0;3644,6;4244,0;4312,3;12180,684;150,341;250,4;218,9
99;AG7;medium;100;395,0;395,6;6,0;683,7;3062,926;50,3003;44,1;45,5
