;Exp;Grupo;Instancia;Best;Avg;Best_inicial;Poblacion_avg;Tiempo_pob;Time;Total_it;best_iteration
0;AG8;small;1;308,0;308,0;333,0;338,9;525,964;20,0082;1185,0;22,5
1;AG8;small;2;277,0;277,0;291,0;297,6;477,67299999999994;20,0068;1227,7;9,6
2;AG8;small;3;285,0;285,0;303,0;308,8;496,76900000000006;20,008699999999997;1115,8;11,0
3;AG8;small;4;288,0;288,0;310,0;313,5;518,2;20,009800000000002;1047,8;10,7
4;AG8;small;5;282,0;282,7;306,0;308,9;509,974;20,0096;1044,1;65,0
5;AG8;small;6;305,0;305,0;317,0;330,9;500,65299999999996;20,008000000000003;1204,7;11,0
6;AG8;small;7;288,0;288,0;305,0;312,5;519,492;20,008699999999997;1060,4;9,6
7;AG8;small;8;256,0;256,0;264,0;270,3;451,45;20,006999999999998;1185,6;4,6
8;AG8;small;9;277,0;277,0;286,0;295,7;466,867;20,0065;1279,4;8,6
9;AG8;small;10;316,0;316,0;337,0;343,9;553,733;20,0089;1127,3;11,9
10;AG8;small;11;304,0;304,0;325,0;329,8;531,284;20,0085;1084,3;15,5
11;AG8;small;12;286,0;286,0;309,0;314,7;482,826;20,0082;1114,1;16,9
12;AG8;small;13;266,0;266,0;281,0;288,2;483,842;20,0095;1049,6;13,8
13;AG8;small;14;269,0;269,0;278,0;286,6;477,62;20,011000000000003;1238,0;10,5
14;AG8;small;15;275,0;275,0;289,0;294,8;490,927;20,007600000000004;1213,8;11,0
15;AG8;small;16;295,0;295,0;318,0;323,9;533,8979999999999;20,0103;1096,3;20,0
16;AG8;small;17;262,0;262,0;284,0;289,7;465,28000000000003;20,017599999999998;1153,2;20,1
17;AG8;small;18;253,0;253,0;273,0;279,7;439,24899999999997;20,0149;1224,2;15,3
18;AG8;small;19;244,0;244,0;265,0;270,2;442,605;20,0118;1197,6;14,0
19;AG8;small;20;286,0;286,0;308,0;314,4;504,12399999999997;20,0073;1104,0;16,0
20;AG8;small;21;292,0;292,0;306,0;310,0;517,884;20,0083;1171,4;12,4
21;AG8;small;22;237,0;237,0;250,0;254,6;404,944;20,0078;1279,8;7,1
22;AG8;small;23;276,0;276,0;286,0;292,8;454,919;20,0044;1285,2;7,2
23;AG8;small;24;294,0;294,0;302,0;312,9;530,8140000000001;20,0111;1068,6;7,6
24;AG8;small;25;238,0;238,0;248,0;256,7;417,517;20,0105;1245,5;10,0
25;AG8;small;26;295,0;295,0;315,0;321,2;493,81399999999996;20,0062;1276,1;11,4
26;AG8;small;27;302,0;302,0;317,0;324,7;565,108;20,0082;1046,1;10,7
27;AG8;small;28;288,0;288,0;317,0;322,7;519,5060000000001;20,0103;1088,3;15,5
28;AG8;small;29;298,0;298,0;322,0;330,5;548,619;20,0072;1093,7;13,4
29;AG8;small;30;299,0;299,0;331,0;334,9;527,458;20,0075;1078,0;19,4
30;AG8;small;31;265,0;265,0;285,0;296,1;460,796;20,009800000000002;1220,1;23,8
31;AG8;small;32;329,0;329,0;335,0;353,9;510,851;20,0059;1276,3;8,2
32;AG8;small;33;309,0;309,0;335,0;342,8;550,653;20,0093;1053,3;18,5
