;Exp;Grupo;Instancia;Best;Avg;Best_inicial;Poblacion_avg;Tiempo_pob;Time;Total_it;best_iteration
0;AG8;tsplib;bays29;2991,0;2991,0;3090,0;4367,585;0,028999999999999998;20,0064;1379,4;6,9
1;AG8;tsplib;berlin52;11218,12;11255,037999999999;12133,14;18390,152;0,086;20,011000000000003;932,7;23,8
2;AG8;tsplib;eil101;950,74;950,74;1030,99;1784,4630000000002;0,337;20,0111;575,5;32,3
3;AG8;tsplib;eil51;639,78;639,78;680,57;1038,6950000000002;0,086;20,0095;1006,4;16,4
4;AG8;tsplib;eil76;816,93;818,739;872,61;1457,953;0,181;20,014400000000002;722,6;27,4
5;AG8;tsplib;fri26;1302,0;1302,0;1302,0;1833,9740000000002;0,022;20,0072;1466,6;1,8
6;AG8;tsplib;gr17;2760,0;2875,5;2995,0;3854,829;0,01;20,0049;1874,4;161,6
7;AG8;tsplib;gr21;8021,0;8294,2;9067,0;11398,757000000001;0,012;20,003800000000002;1704,7;205,5
8;AG8;tsplib;gr24;1841,0;1855,4;1867,0;2550,827;0,02;20,005699999999997;1545,3;483,3
9;AG8;tsplib;gr48;7567,0;7589,1;8132,0;12576,972;0,075;20,012;948,9;265,2
